"","date","dewPoint"
"1",2017-04-01,44.78
"2",2017-04-02,46.49
"3",2017-04-03,42.94
"4",2017-04-04,42.19
"5",2017-04-05,47.36
"6",2017-04-06,43.99
"7",2017-04-07,45.7
"8",2017-04-08,45.69
"9",2017-04-09,48.46
"10",2017-04-10,49.6
"11",2017-04-11,49.19
"12",2017-04-12,49.65
"13",2017-04-13,50.33
"14",2017-04-14,49.47
"15",2017-04-15,51.1
"16",2017-04-16,42.2
"17",2017-04-17,40.95
"18",2017-04-18,31.71
"19",2017-04-19,15.5
"20",2017-04-20,16.95
"21",2017-04-21,24.31
"22",2017-04-22,34.38
"23",2017-04-23,45.02
"24",2017-04-24,46.2
"25",2017-04-25,50.05
"26",2017-04-26,48.4
"27",2017-04-27,50.22
"28",2017-04-28,39
"29",2017-04-29,32.76
"30",2017-04-30,38.22
"31",2017-05-01,42.07
"32",2017-05-02,40.99
"33",2017-05-03,46.4
"34",2017-05-04,47.24
"35",2017-05-05,46.21
"36",2017-05-06,48.51
"37",2017-05-07,50.18
"38",2017-05-08,48.87
"39",2017-05-09,49.6
"40",2017-05-10,49.81
"41",2017-05-11,51.83
"42",2017-05-12,54.62
"43",2017-05-13,55.89
"44",2017-05-15,53.35
"45",2017-05-16,53.11
"46",2017-05-17,54.71
"47",2017-05-18,54.24
"48",2017-05-19,54.88
"49",2017-05-20,49.33
"50",2017-05-21,45.06
"51",2017-05-22,48.64
"52",2017-05-23,52.66
"53",2017-05-24,51.44
"54",2017-05-25,54.85
"55",2017-05-26,52.85
"56",2017-05-27,54
"57",2017-05-28,55.85
"58",2017-05-29,57.36
"59",2017-05-30,57.57
"60",2017-05-31,53.62
"61",2017-06-01,53.29
"62",2017-06-02,54.71
"63",2017-06-03,56.09
"64",2017-06-04,60.51
"65",2017-06-05,58.95
"66",2017-06-06,58.22
"67",2017-06-07,47.19
"68",2017-06-08,49.14
"69",2017-06-09,54.25
"70",2017-06-10,57.83
"71",2017-06-11,59.18
"72",2017-06-12,61.39
"73",2017-06-13,63.3
"74",2017-06-14,64.94
"75",2017-06-15,67.11
"76",2017-06-16,62.19
"77",2017-06-17,54.94
"78",2017-06-18,54.82
"79",2017-06-19,55.68
"80",2017-06-20,58.98
"81",2017-06-21,60.74
"82",2017-06-22,65.58
"83",2017-06-23,66.96
"84",2017-06-24,68.2
"85",2017-06-25,66.01
"86",2017-06-26,64.78
"87",2017-06-27,63.19
"88",2017-06-28,61.36
"89",2017-06-29,58.39
