"","date","humidity.X","humidity.date","humidity.humidity"
"1",2017-04-01,1,"2017-04-01",0.58
"2",2017-04-02,2,"2017-04-02",0.68
"3",2017-04-03,3,"2017-04-03",0.56
"4",2017-04-04,4,"2017-04-04",0.52
"5",2017-04-05,5,"2017-04-05",0.73
"6",2017-04-06,6,"2017-04-06",0.63
"7",2017-04-07,7,"2017-04-07",0.69
"8",2017-04-08,8,"2017-04-08",0.64
"9",2017-04-09,9,"2017-04-09",0.63
"10",2017-04-10,10,"2017-04-10",0.62
"11",2017-04-11,11,"2017-04-11",0.62
"12",2017-04-12,12,"2017-04-12",0.65
"13",2017-04-13,13,"2017-04-13",0.65
"14",2017-04-14,14,"2017-04-14",0.65
"15",2017-04-15,15,"2017-04-15",0.71
"16",2017-04-16,16,"2017-04-16",0.55
"17",2017-04-17,17,"2017-04-17",0.58
"18",2017-04-18,18,"2017-04-18",0.5
"19",2017-04-19,19,"2017-04-19",0.26
"20",2017-04-20,20,"2017-04-20",0.28
"21",2017-04-21,21,"2017-04-21",0.35
"22",2017-04-22,22,"2017-04-22",0.46
"23",2017-04-23,23,"2017-04-23",0.62
"24",2017-04-24,24,"2017-04-24",0.68
"25",2017-04-25,25,"2017-04-25",0.78
"26",2017-04-26,26,"2017-04-26",0.86
"27",2017-04-27,27,"2017-04-27",0.91
"28",2017-04-28,28,"2017-04-28",0.64
"29",2017-04-29,29,"2017-04-29",0.48
"30",2017-04-30,30,"2017-04-30",0.55
"31",2017-05-01,31,"2017-05-01",0.74
"32",2017-05-02,32,"2017-05-02",0.72
"33",2017-05-03,33,"2017-05-03",0.83
"34",2017-05-04,34,"2017-05-04",0.82
"35",2017-05-05,35,"2017-05-05",0.7
"36",2017-05-06,36,"2017-05-06",0.78
"37",2017-05-07,37,"2017-05-07",0.86
"38",2017-05-08,38,"2017-05-08",0.69
"39",2017-05-09,39,"2017-05-09",0.68
"40",2017-05-10,40,"2017-05-10",0.72
"41",2017-05-11,41,"2017-05-11",0.8
"42",2017-05-12,42,"2017-05-12",0.83
"43",2017-05-13,43,"2017-05-13",0.72
"44",2017-05-15,44,"2017-05-15",0.63
"45",2017-05-16,45,"2017-05-16",0.59
"46",2017-05-17,46,"2017-05-17",0.58
"47",2017-05-18,47,"2017-05-18",0.56
"48",2017-05-19,48,"2017-05-19",0.72
"49",2017-05-20,49,"2017-05-20",0.65
"50",2017-05-21,50,"2017-05-21",0.51
"51",2017-05-22,51,"2017-05-22",0.49
"52",2017-05-23,52,"2017-05-23",0.53
"53",2017-05-24,53,"2017-05-24",0.46
"54",2017-05-25,54,"2017-05-25",0.58
"55",2017-05-26,55,"2017-05-26",0.54
"56",2017-05-27,56,"2017-05-27",0.55
"57",2017-05-28,57,"2017-05-28",0.52
"58",2017-05-29,58,"2017-05-29",0.53
"59",2017-05-30,59,"2017-05-30",0.54
