"","date","windSpeed.X","windSpeed.date","windSpeed.windSpeed"
"1",2017-04-01,1,"2017-04-01",0.64
"2",2017-04-02,2,"2017-04-02",0.04
"3",2017-04-03,3,"2017-04-03",1.31
"4",2017-04-04,4,"2017-04-04",0.73
"5",2017-04-05,5,"2017-04-05",0.99
"6",2017-04-06,6,"2017-04-06",1.18
"7",2017-04-07,7,"2017-04-07",0.52
"8",2017-04-08,8,"2017-04-08",0.59
"9",2017-04-09,9,"2017-04-09",0.72
"10",2017-04-10,10,"2017-04-10",0.29
"11",2017-04-11,11,"2017-04-11",0.6
"12",2017-04-12,12,"2017-04-12",0.77
"13",2017-04-13,13,"2017-04-13",2.28
"14",2017-04-14,14,"2017-04-14",0.89
"15",2017-04-15,15,"2017-04-15",0.48
"16",2017-04-16,16,"2017-04-16",1.31
"17",2017-04-17,17,"2017-04-17",0.92
"18",2017-04-18,18,"2017-04-18",1.63
"19",2017-04-19,19,"2017-04-19",2.68
"20",2017-04-20,20,"2017-04-20",0.7
"21",2017-04-21,21,"2017-04-21",0.64
"22",2017-04-22,22,"2017-04-22",1.58
"23",2017-04-23,23,"2017-04-23",1.59
"24",2017-04-24,24,"2017-04-24",1.3
"25",2017-04-25,25,"2017-04-25",1.19
"26",2017-04-26,26,"2017-04-26",2.13
"27",2017-04-27,27,"2017-04-27",0.29
"28",2017-04-28,28,"2017-04-28",1.45
"29",2017-04-29,29,"2017-04-29",0.56
"30",2017-04-30,30,"2017-04-30",0.85
"31",2017-05-01,31,"2017-05-01",1.32
"32",2017-05-02,32,"2017-05-02",0.04
"33",2017-05-03,33,"2017-05-03",0.59
"34",2017-05-04,34,"2017-05-04",0.14
"35",2017-05-05,35,"2017-05-05",0.71
"36",2017-05-06,36,"2017-05-06",0.75
"37",2017-05-07,37,"2017-05-07",0.76
"38",2017-05-08,38,"2017-05-08",0.54
"39",2017-05-09,39,"2017-05-09",1.28
"40",2017-05-10,40,"2017-05-10",2.02
"41",2017-05-11,41,"2017-05-11",1.66
"42",2017-05-12,42,"2017-05-12",0.47
"43",2017-05-13,43,"2017-05-13",1.12
"44",2017-05-15,44,"2017-05-15",0.62
"45",2017-05-16,45,"2017-05-16",0.49
"46",2017-05-17,46,"2017-05-17",0.76
"47",2017-05-18,47,"2017-05-18",1.64
"48",2017-05-19,48,"2017-05-19",2.01
"49",2017-05-20,49,"2017-05-20",0.02
"50",2017-05-21,50,"2017-05-21",0.55
"51",2017-05-22,51,"2017-05-22",0.52
"52",2017-05-23,52,"2017-05-23",1.03
"53",2017-05-24,53,"2017-05-24",0.69
"54",2017-05-25,54,"2017-05-25",2.14
"55",2017-05-26,55,"2017-05-26",1.47
"56",2017-05-27,56,"2017-05-27",0.91
"57",2017-05-28,57,"2017-05-28",0.52
"58",2017-05-29,58,"2017-05-29",0.72
"59",2017-05-30,59,"2017-05-30",1.11
"60",2017-05-31,60,"2017-05-31",2
"61",2017-06-01,61,"2017-06-01",1.24
"62",2017-06-02,62,"2017-06-02",0.96
"63",2017-06-03,63,"2017-06-03",1.18
"64",2017-06-04,64,"2017-06-04",0.38
"65",2017-06-05,65,"2017-06-05",1.21
"66",2017-06-06,66,"2017-06-06",0.66
"67",2017-06-07,67,"2017-06-07",0.68
"68",2017-06-08,68,"2017-06-08",0.87
"69",2017-06-09,69,"2017-06-09",0.31
"70",2017-06-10,70,"2017-06-10",0.77
"71",2017-06-11,71,"2017-06-11",1.23
"72",2017-06-12,72,"2017-06-12",0.39
"73",2017-06-13,73,"2017-06-13",0.68
"74",2017-06-14,74,"2017-06-14",0.16
"75",2017-06-15,75,"2017-06-15",0.78
"76",2017-06-16,76,"2017-06-16",1.45
"77",2017-06-17,77,"2017-06-17",0.41
"78",2017-06-18,78,"2017-06-18",2.39
"79",2017-06-19,79,"2017-06-19",0.88
"80",2017-06-20,80,"2017-06-20",0.85
"81",2017-06-21,81,"2017-06-21",1.54
"82",2017-06-22,82,"2017-06-22",1.38
"83",2017-06-23,83,"2017-06-23",3.19
"84",2017-06-24,84,"2017-06-24",1.05
"85",2017-06-25,85,"2017-06-25",0.41
"86",2017-06-26,86,"2017-06-26",0.59
"87",2017-06-27,87,"2017-06-27",1.06
"88",2017-06-28,88,"2017-06-28",1.78
"89",2017-06-29,89,"2017-06-29",0.49
"90",2017-06-30,90,"2017-06-30",1
"91",2017-07-01,91,"2017-07-01",0.16
"92",2017-07-02,92,"2017-07-02",0.61
"93",2017-07-03,93,"2017-07-03",0.44
"94",2017-07-04,94,"2017-07-04",0.97
"95",2017-07-05,95,"2017-07-05",0.58
"96",2017-07-06,96,"2017-07-06",0.77
"97",2017-07-07,97,"2017-07-07",1.39
"98",2017-07-08,98,"2017-07-08",0.99
"99",2017-07-09,99,"2017-07-09",0.33
"100",2017-07-10,100,"2017-07-10",0.74
"101",2017-07-11,101,"2017-07-11",0.68
"102",2017-07-12,102,"2017-07-12",0.7
"103",2017-07-13,103,"2017-07-13",0.94
"104",2017-07-14,104,"2017-07-14",1.51
"105",2017-07-15,105,"2017-07-15",0.31
"106",2017-07-16,106,"2017-07-16",1.72
"107",2017-07-17,107,"2017-07-17",0.81
"108",2017-07-18,108,"2017-07-18",0.75
"109",2017-07-19,109,"2017-07-19",1.02
"110",2017-07-20,110,"2017-07-20",0.86
"111",2017-07-21,111,"2017-07-21",0.26
"112",2017-07-22,112,"2017-07-22",0.2
"113",2017-07-23,113,"2017-07-23",1.06
"114",2017-07-24,114,"2017-07-24",0.34
"115",2017-07-25,115,"2017-07-25",2.04
"116",2017-07-26,116,"2017-07-26",2.9
"117",2017-07-27,117,"2017-07-27",0.55
"118",2017-07-28,118,"2017-07-28",0.67
"119",2017-07-29,119,"2017-07-29",0.72
"120",2017-07-30,120,"2017-07-30",0.77
"121",2017-07-31,121,"2017-07-31",0.32
"122",2017-08-01,122,"2017-08-01",0.43
"123",2017-08-02,123,"2017-08-02",0.87
"124",2017-08-03,124,"2017-08-03",0.29
"125",2017-08-04,125,"2017-08-04",0.81
"126",2017-08-05,126,"2017-08-05",0.71
"127",2017-08-06,127,"2017-08-06",1.93
"128",2017-08-07,128,"2017-08-07",1.07
"129",2017-08-08,129,"2017-08-08",2.53
"130",2017-08-09,130,"2017-08-09",0.21
"131",2017-08-10,131,"2017-08-10",0.63
"132",2017-08-11,132,"2017-08-11",1.18
"133",2017-08-12,133,"2017-08-12",1.36
"134",2017-08-13,134,"2017-08-13",0.25
"135",2017-08-14,135,"2017-08-14",0.37
"136",2017-08-15,136,"2017-08-15",0.34
"137",2017-08-16,137,"2017-08-16",0.29
"138",2017-08-17,138,"2017-08-17",0.11
"139",2017-08-18,139,"2017-08-18",0.66
"140",2017-08-21,140,"2017-08-21",1.1
"141",2017-08-22,141,"2017-08-22",0.79
"142",2017-08-23,142,"2017-08-23",0.36
"143",2017-08-24,143,"2017-08-24",0.44
"144",2017-08-25,144,"2017-08-25",0.69
