CbTagName;date;ed 
CB Third Floor;01/04/2017;28
CB Third Floor;02/04/2017;33
CB Third Floor;03/04/2017;45
CB Third Floor;04/04/2017;44
CB Third Floor;05/04/2017;42
CB Third Floor;06/04/2017;45
CB Third Floor;07/04/2017;44
CB Third Floor;08/04/2017;38
CB Third Floor;09/04/2017;28
CB Third Floor;10/04/2017;44
CB Third Floor;11/04/2017;43
CB Third Floor;12/04/2017;41
CB Third Floor;13/04/2017;42
CB Third Floor;14/04/2017;38
CB Third Floor;15/04/2017;25
CB Third Floor;16/04/2017;25
CB Third Floor;17/04/2017;32
CB Third Floor;18/04/2017;50
CB Third Floor;19/04/2017;65
CB Third Floor;20/04/2017;64
CB Third Floor;21/04/2017;60
CB Third Floor;22/04/2017;40
CB Third Floor;23/04/2017;34
CB Third Floor;24/04/2017;51
CB Third Floor;25/04/2017;52
CB Third Floor;26/04/2017;61
CB Third Floor;27/04/2017;67
CB Third Floor;28/04/2017;56
CB Third Floor;29/04/2017;43
CB Third Floor;30/04/2017;42
CB Third Floor;01/05/2017;73
CB Third Floor;02/05/2017;65
CB Third Floor;03/05/2017;64
CB Third Floor;04/05/2017;60
CB Third Floor;05/05/2017;47
CB Third Floor;06/05/2017;45
CB Third Floor;07/05/2017;48
CB Third Floor;08/05/2017;51
CB Third Floor;09/05/2017;48
CB Third Floor;10/05/2017;48
CB Third Floor;11/05/2017;51
CB Third Floor;12/05/2017;41
CB Third Floor;13/05/2017;42
CB Third Floor;15/05/2017;43
CB Third Floor;16/05/2017;46
CB Third Floor;17/05/2017;46
CB Third Floor;18/05/2017;46
CB Third Floor;19/05/2017;38
CB Third Floor;20/05/2017;23
CB Third Floor;21/05/2017;27
CB Third Floor;22/05/2017;49
CB Third Floor;23/05/2017;52
CB Third Floor;24/05/2017;48
CB Third Floor;25/05/2017;41
CB Third Floor;26/05/2017;43
CB Third Floor;27/05/2017;25
CB Third Floor;28/05/2017;37
CB Third Floor;29/05/2017;62
CB Third Floor;30/05/2017;68
CB Third Floor;31/05/2017;69
CB Third Floor;01/06/2017;63
CB Third Floor;02/06/2017;58
CB Third Floor;03/06/2017;40
CB Third Floor;04/06/2017;31
CB Third Floor;05/06/2017;64
CB Third Floor;06/06/2017;47
CB Third Floor;07/06/2017;39
CB Third Floor;08/06/2017;39
CB Third Floor;09/06/2017;46
CB Third Floor;10/06/2017;24
CB Third Floor;11/06/2017;20
CB Third Floor;12/06/2017;84
CB Third Floor;13/06/2017;76
CB Third Floor;14/06/2017;74
CB Third Floor;15/06/2017;70
CB Third Floor;16/06/2017;80
CB Third Floor;17/06/2017;51
CB Third Floor;18/06/2017;41
CB Third Floor;19/06/2017;68
CB Third Floor;20/06/2017;83
CB Third Floor;21/06/2017;87
CB Third Floor;22/06/2017;101
CB Third Floor;23/06/2017;108
CB Third Floor;24/06/2017;79
CB Third Floor;25/06/2017;55
CB Third Floor;26/06/2017;74
CB Third Floor;27/06/2017;65
CB Third Floor;28/06/2017;64
CB Third Floor;29/06/2017;44
CB Third Floor;30/06/2017;41
CB Third Floor;01/07/2017;18
CB Third Floor;02/07/2017;25
CB Third Floor;03/07/2017;59
CB Third Floor;04/07/2017;64
CB Third Floor;05/07/2017;72
CB Third Floor;06/07/2017;85
CB Third Floor;07/07/2017;91
CB Third Floor;08/07/2017;70
CB Third Floor;09/07/2017;68
CB Third Floor;10/07/2017;88
CB Third Floor;11/07/2017;89
CB Third Floor;12/07/2017;76
CB Third Floor;13/07/2017;86
CB Third Floor;14/07/2017;67
CB Third Floor;15/07/2017;37
CB Third Floor;16/07/2017;36
CB Third Floor;17/07/2017;58
CB Third Floor;18/07/2017;68
CB Third Floor;19/07/2017;78
CB Third Floor;20/07/2017;70
CB Third Floor;21/07/2017;76
CB Third Floor;22/07/2017;51
CB Third Floor;23/07/2017;61
CB Third Floor;24/07/2017;62
CB Third Floor;25/07/2017;54
CB Third Floor;26/07/2017;58
CB Third Floor;27/07/2017;58
CB Third Floor;28/07/2017;66
CB Third Floor;29/07/2017;48
CB Third Floor;30/07/2017;51
CB Third Floor;31/07/2017;84
CB Third Floor;01/08/2017;105
CB Third Floor;02/08/2017;117
CB Third Floor;03/08/2017;120
CB Third Floor;04/08/2017;120
CB Third Floor;05/08/2017;78
CB Third Floor;06/08/2017;63
CB Third Floor;07/08/2017;76
CB Third Floor;08/08/2017;76
CB Third Floor;09/08/2017;81
CB Third Floor;10/08/2017;73
CB Third Floor;11/08/2017;54
CB Third Floor;12/08/2017;36
CB Third Floor;13/08/2017;45
CB Third Floor;14/08/2017;60
CB Third Floor;15/08/2017;67
CB Third Floor;16/08/2017;66
CB Third Floor;17/08/2017;78
CB Third Floor;18/08/2017;54
CB Third Floor;21/08/2017;61
CB Third Floor;22/08/2017;50
CB Third Floor;23/08/2017;58
CB Third Floor;24/08/2017;65
CB Third Floor;25/08/2017;71
CB Third Floor;26/08/2017;57
CB Third Floor;27/08/2017;69
CB Third Floor;28/08/2017;86
CB Third Floor;29/08/2017;72
CB Third Floor;30/08/2017;80
CB Third Floor;31/08/2017;77
CB Third Floor;01/09/2017;55
CB Third Floor;02/09/2017;17
CB Third Floor;03/09/2017;20
CB Third Floor;04/09/2017;33
CB Third Floor;05/09/2017;42
CB Third Floor;06/09/2017;46
CB Third Floor;07/09/2017;48
CB Third Floor;08/09/2017;32
CB Third Floor;09/09/2017;16
CB Third Floor;10/09/2017;13
CB Third Floor;11/09/2017;24
CB Third Floor;12/09/2017;30
CB Third Floor;13/09/2017;32
CB Third Floor;14/09/2017;36
CB Third Floor;15/09/2017;30
CB Third Floor;16/09/2017;5
CB Third Floor;17/09/2017;9
CB Third Floor;18/09/2017;25
CB Third Floor;19/09/2017;26
CB Third Floor;20/09/2017;29
CB Third Floor;21/09/2017;31
CB Third Floor;22/09/2017;31
CB Third Floor;23/09/2017;15
CB Third Floor;24/09/2017;13
CB Third Floor;25/09/2017;41
CB Third Floor;26/09/2017;32
CB Third Floor;27/09/2017;33
CB Third Floor;28/09/2017;32
CB Third Floor;29/09/2017;29
CB Third Floor;30/09/2017;13
CB Third Floor;01/10/2017;15
CB Third Floor;02/10/2017;31
CB Third Floor;03/10/2017;32
CB Third Floor;04/10/2017;28
CB Third Floor;05/10/2017;27
CB Third Floor;06/10/2017;24
CB Third Floor;07/10/2017;10
CB Third Floor;08/10/2017;12
CB Third Floor;09/10/2017;27
CB Third Floor;10/10/2017;26
CB Third Floor;11/10/2017;30
CB Third Floor;12/10/2017;30
CB Third Floor;13/10/2017;27
CB Third Floor;14/10/2017;13
CB Third Floor;15/10/2017;18
CB Third Floor;16/10/2017;34
CB Third Floor;17/10/2017;33
CB Third Floor;18/10/2017;32
CB Third Floor;19/10/2017;27
