date;ed
01/01/2019-00;61
01/01/2019-01;62
01/01/2019-02;62
01/01/2019-03;62
01/01/2019-04;62
01/01/2019-05;62
01/01/2019-06;62
01/01/2019-07;62
01/01/2019-08;65
01/01/2019-09;65
01/01/2019-10;64
01/01/2019-11;63
01/01/2019-12;63
01/01/2019-13;62
01/01/2019-14;59
01/01/2019-15;58
01/01/2019-16;59
01/01/2019-17;59
01/01/2019-18;59
01/01/2019-19;60
01/01/2019-20;60
01/01/2019-21;60
01/01/2019-22;60
01/01/2019-23;59
02/01/2019-00;60
02/01/2019-01;60
02/01/2019-02;61
02/01/2019-03;60
02/01/2019-04;60
02/01/2019-05;62
02/01/2019-06;67
02/01/2019-07;73
02/01/2019-08;83
02/01/2019-09;86
02/01/2019-10;86
02/01/2019-11;97
02/01/2019-12;90
02/01/2019-13;99
02/01/2019-14;93
02/01/2019-15;86
02/01/2019-16;84
02/01/2019-17;77
02/01/2019-18;71
02/01/2019-19;68
02/01/2019-20;67
02/01/2019-21;67
02/01/2019-22;67
02/01/2019-23;64
03/01/2019-00;63
03/01/2019-01;64
03/01/2019-02;63
03/01/2019-03;64
03/01/2019-04;64
03/01/2019-05;64
03/01/2019-06;69
03/01/2019-07;74
03/01/2019-08;96
03/01/2019-09;100
03/01/2019-10;96
03/01/2019-11;99
03/01/2019-12;98
03/01/2019-13;106
03/01/2019-14;96
03/01/2019-15;91
03/01/2019-16;88
03/01/2019-17;81
03/01/2019-18;77
03/01/2019-19;72
03/01/2019-20;71
03/01/2019-21;69
03/01/2019-22;66
03/01/2019-23;66
04/01/2019-00;64
04/01/2019-01;64
04/01/2019-02;65
04/01/2019-03;65
04/01/2019-04;65
04/01/2019-05;66
04/01/2019-06;71
04/01/2019-07;77
04/01/2019-08;95
04/01/2019-09;93
04/01/2019-10;92
04/01/2019-11;92
04/01/2019-12;92
04/01/2019-13;101
04/01/2019-14;99
04/01/2019-15;94
04/01/2019-16;89
04/01/2019-17;86
04/01/2019-18;75
04/01/2019-19;70
04/01/2019-20;70
04/01/2019-21;68
04/01/2019-22;65
04/01/2019-23;65
05/01/2019-00;65
05/01/2019-01;65
05/01/2019-02;65
05/01/2019-03;65
05/01/2019-04;65
05/01/2019-05;66
05/01/2019-06;67
05/01/2019-07;63
05/01/2019-08;66
05/01/2019-09;66
05/01/2019-10;67
05/01/2019-11;65
05/01/2019-12;64
05/01/2019-13;63
05/01/2019-14;62
05/01/2019-15;62
05/01/2019-16;63
05/01/2019-17;63
05/01/2019-18;63
05/01/2019-19;64
05/01/2019-20;63
05/01/2019-21;64
05/01/2019-22;64
05/01/2019-23;63
06/01/2019-00;63
06/01/2019-01;63
06/01/2019-02;63
06/01/2019-03;63
06/01/2019-04;63
06/01/2019-05;63
06/01/2019-06;62
06/01/2019-07;62
06/01/2019-08;62
06/01/2019-09;61
06/01/2019-10;61
06/01/2019-11;61
06/01/2019-12;61
06/01/2019-13;61
