CbTagName;date;ed
CB Second Floor;01/02/201-00;76
CB Second Floor;01/02/201-01;76
CB Second Floor;01/02/201-02;76
CB Second Floor;01/02/201-03;76
CB Second Floor;01/02/201-04;74
CB Second Floor;01/02/201-05;76
CB Second Floor;01/02/201-06;80
CB Second Floor;01/02/201-07;90
CB Second Floor;01/02/201-08;112
CB Second Floor;01/02/201-09;121
CB Second Floor;01/02/201-10;119
CB Second Floor;01/02/201-11;125
CB Second Floor;01/02/201-12;127
CB Second Floor;01/02/201-13;129
CB Second Floor;01/02/201-14;130
CB Second Floor;01/02/201-15;116
CB Second Floor;01/02/201-16;114
CB Second Floor;01/02/201-17;105
CB Second Floor;01/02/201-18;95
CB Second Floor;01/02/201-19;88
CB Second Floor;01/02/201-20;82
CB Second Floor;01/02/201-21;83
CB Second Floor;01/02/201-22;81
CB Second Floor;01/02/201-23;79
CB Second Floor;02/02/201-00;80
CB Second Floor;02/02/201-01;80
CB Second Floor;02/02/201-02;78
CB Second Floor;02/02/201-03;78
CB Second Floor;02/02/201-04;78
CB Second Floor;02/02/201-05;78
CB Second Floor;02/02/201-06;78
CB Second Floor;02/02/201-07;77
CB Second Floor;02/02/201-08;79
CB Second Floor;02/02/201-09;69
CB Second Floor;02/02/201-10;63
CB Second Floor;02/02/201-11;59
CB Second Floor;02/02/201-12;56
CB Second Floor;02/02/201-13;54
CB Second Floor;02/02/201-14;55
CB Second Floor;02/02/201-15;57
CB Second Floor;02/02/201-16;55
CB Second Floor;02/02/201-17;54
CB Second Floor;02/02/201-18;55
CB Second Floor;02/02/201-19;54
CB Second Floor;02/02/201-20;55
CB Second Floor;02/02/201-21;55
CB Second Floor;02/02/201-22;55
CB Second Floor;02/02/201-23;56
CB Second Floor;03/02/201-00;55
CB Second Floor;03/02/201-01;57
CB Second Floor;03/02/201-02;57
CB Second Floor;03/02/201-03;58
CB Second Floor;03/02/201-04;57
CB Second Floor;03/02/201-05;56
CB Second Floor;03/02/201-06;56
CB Second Floor;03/02/201-07;56
CB Second Floor;03/02/201-08;56
CB Second Floor;03/02/201-09;56
CB Second Floor;03/02/201-10;54
CB Second Floor;03/02/201-11;53
CB Second Floor;03/02/201-12;53
CB Second Floor;03/02/201-13;53
CB Second Floor;03/02/201-14;53
CB Second Floor;03/02/201-15;52
CB Second Floor;03/02/201-16;52
CB Second Floor;03/02/201-17;53
CB Second Floor;03/02/201-18;53
CB Second Floor;03/02/201-19;54
CB Second Floor;03/02/201-20;55
