CbTagName;date;ed 
CB Third Floor;01/02/2019-00;140
CB Third Floor;01/02/2019-01;140
CB Third Floor;01/02/2019-02;142
CB Third Floor;01/02/2019-03;145
CB Third Floor;01/02/2019-04;147
CB Third Floor;01/02/2019-05;148
CB Third Floor;01/02/2019-06;145
CB Third Floor;01/02/2019-07;161
CB Third Floor;01/02/2019-08;185
CB Third Floor;01/02/2019-09;175
CB Third Floor;01/02/2019-10;169
CB Third Floor;01/02/2019-11;170
CB Third Floor;01/02/2019-12;155
CB Third Floor;01/02/2019-13;157
CB Third Floor;01/02/2019-14;164
CB Third Floor;01/02/2019-15;175
CB Third Floor;01/02/2019-16;161
CB Third Floor;01/02/2019-17;153
CB Third Floor;01/02/2019-18;143
CB Third Floor;01/02/2019-19;146
CB Third Floor;01/02/2019-20;151
CB Third Floor;01/02/2019-21;152
CB Third Floor;01/02/2019-22;157
CB Third Floor;01/02/2019-23;156
CB Third Floor;02/02/2019-00;156
CB Third Floor;02/02/2019-01;149
CB Third Floor;02/02/2019-02;148
CB Third Floor;02/02/2019-03;153
CB Third Floor;02/02/2019-04;145
CB Third Floor;02/02/2019-05;138
CB Third Floor;02/02/2019-06;139
CB Third Floor;02/02/2019-07;144
CB Third Floor;02/02/2019-08;172
CB Third Floor;02/02/2019-09;150
CB Third Floor;02/02/2019-10;143
CB Third Floor;02/02/2019-11;113
CB Third Floor;02/02/2019-12;109
CB Third Floor;02/02/2019-13;104
CB Third Floor;02/02/2019-14;110
CB Third Floor;02/02/2019-15;116
CB Third Floor;02/02/2019-16;115
CB Third Floor;02/02/2019-17;124
CB Third Floor;02/02/2019-18;123
CB Third Floor;02/02/2019-19;125
CB Third Floor;02/02/2019-20;134
CB Third Floor;02/02/2019-21;132
CB Third Floor;02/02/2019-22;127
CB Third Floor;02/02/2019-23;127
CB Third Floor;03/02/2019-00;141
CB Third Floor;03/02/2019-01;130
CB Third Floor;03/02/2019-02;140
CB Third Floor;03/02/2019-03;141
CB Third Floor;03/02/2019-04;135
CB Third Floor;03/02/2019-05;136
CB Third Floor;03/02/2019-06;128
CB Third Floor;03/02/2019-07;122
CB Third Floor;03/02/2019-08;144
CB Third Floor;03/02/2019-09;132
CB Third Floor;03/02/2019-10;126
CB Third Floor;03/02/2019-11;122
CB Third Floor;03/02/2019-12;112
CB Third Floor;03/02/2019-13;100
CB Third Floor;03/02/2019-14;95
CB Third Floor;03/02/2019-15;92
CB Third Floor;03/02/2019-16;100
CB Third Floor;03/02/2019-17;101
CB Third Floor;03/02/2019-18;94
CB Third Floor;03/02/2019-19;103
CB Third Floor;03/02/2019-20;107
CB Third Floor;03/02/2019-21;113
CB Third Floor;03/02/2019-22;125
CB Third Floor;04/02/2019-23;123
CB Third Floor;04/02/2019-00;131
CB Third Floor;04/02/2019-01;134
CB Third Floor;04/02/2019-02;135
CB Third Floor;04/02/2019-03;133
CB Third Floor;04/02/2019-04;132
CB Third Floor;04/02/2019-05;143
CB Third Floor;04/02/2019-06;139
CB Third Floor;04/02/2019-07;140
CB Third Floor;04/02/2019-08;155
CB Third Floor;04/02/2019-09;139
CB Third Floor;04/02/2019-10;97
CB Third Floor;04/02/2019-11;86
CB Third Floor;04/02/2019-12;75
CB Third Floor;04/02/2019-13;55
CB Third Floor;04/02/2019-14;61
CB Third Floor;04/02/2019-15;71
CB Third Floor;04/02/2019-16;81
CB Third Floor;04/02/2019-17;100
CB Third Floor;04/02/2019-18;99
CB Third Floor;04/02/2019-19;106
CB Third Floor;04/02/2019-20;114
CB Third Floor;04/02/2019-21;120
CB Third Floor;04/02/2019-22;126
CB Third Floor;05/02/2019-00;127
CB Third Floor;05/02/2019-01;134
CB Third Floor;05/02/2019-02;145
CB Third Floor;05/02/2019-03;136
CB Third Floor;05/02/2019-04;136
CB Third Floor;05/02/2019-05;145
CB Third Floor;05/02/2019-06;139
CB Third Floor;05/02/2019-07;153
CB Third Floor;05/02/2019-08;155
CB Third Floor;05/02/2019-09;136
CB Third Floor;05/02/2019-10;98
CB Third Floor;05/02/2019-11;75
CB Third Floor;05/02/2019-12;65
CB Third Floor;05/02/2019-13;60
CB Third Floor;05/02/2019-14;57
CB Third Floor;05/02/2019-15;63
CB Third Floor;05/02/2019-16;86
CB Third Floor;05/02/2019-17;97
CB Third Floor;05/02/2019-18;99
CB Third Floor;05/02/2019-19;121
CB Third Floor;05/02/2019-20;139
CB Third Floor;05/02/2019-21;138
CB Third Floor;05/02/2019-22;145
CB Third Floor;05/02/2019-23;145
CB Third Floor;06/02/2019-00;153
CB Third Floor;06/02/2019-01;159
CB Third Floor;06/02/2019-02;154
CB Third Floor;06/02/2019-03;156
CB Third Floor;06/02/2019-04;161
CB Third Floor;06/02/2019-05;168
CB Third Floor;06/02/2019-06;162
CB Third Floor;06/02/2019-07;167
CB Third Floor;06/02/2019-08;167
CB Third Floor;06/02/2019-09;124
CB Third Floor;06/02/2019-10;100
CB Third Floor;06/02/2019-11;82
CB Third Floor;06/02/2019-12;72
CB Third Floor;06/02/2019-13;61
CB Third Floor;06/02/2019-14;60
CB Third Floor;06/02/2019-15;64
CB Third Floor;06/02/2019-16;83
CB Third Floor;06/02/2019-17;97
CB Third Floor;06/02/2019-18;90
CB Third Floor;06/02/2019-19;103
CB Third Floor;06/02/2019-20;115
CB Third Floor;06/02/2019-21;117
CB Third Floor;06/02/2019-22;123
CB Third Floor;06/02/2019-23;130
CB Third Floor;07/02/2019-00;140
CB Third Floor;07/02/2019-01;136
CB Third Floor;07/02/2019-02;137
CB Third Floor;07/02/2019-03;146
CB Third Floor;07/02/2019-04;136
CB Third Floor;07/02/2019-05;139
CB Third Floor;07/02/2019-06;136
CB Third Floor;07/02/2019-07;142
CB Third Floor;07/02/2019-08;183
CB Third Floor;07/02/2019-09;124
CB Third Floor;07/02/2019-10;98
CB Third Floor;07/02/2019-11;90
CB Third Floor;07/02/2019-12;79
CB Third Floor;07/02/2019-13;84
CB Third Floor;07/02/2019-14;89
CB Third Floor;07/02/2019-15;97
CB Third Floor;07/02/2019-16;103
CB Third Floor;07/02/2019-17;112
CB Third Floor;07/02/2019-18;92
CB Third Floor;07/02/2019-19;104
CB Third Floor;07/02/2019-20;124
CB Third Floor;07/02/2019-21;144
CB Third Floor;07/02/2019-22;139
CB Third Floor;07/02/2019-23;145
CB Third Floor;08/02/2019-00;152
CB Third Floor;08/02/2019-01;149
CB Third Floor;08/02/2019-02;157
CB Third Floor;08/02/2019-03;153
CB Third Floor;08/02/2019-04;148
CB Third Floor;08/02/2019-05;160
CB Third Floor;08/02/2019-06;158
CB Third Floor;08/02/2019-07;165
CB Third Floor;08/02/2019-08;168
CB Third Floor;08/02/2019-09;121
CB Third Floor;08/02/2019-10;95
CB Third Floor;08/02/2019-11;77
CB Third Floor;08/02/2019-12;65
CB Third Floor;08/02/2019-13;61
CB Third Floor;08/02/2019-14;54
CB Third Floor;08/02/2019-15;68
CB Third Floor;08/02/2019-16;75
CB Third Floor;08/02/2019-17;98
CB Third Floor;08/02/2019-18;97
CB Third Floor;08/02/2019-19;92
CB Third Floor;08/02/2019-20;100
CB Third Floor;08/02/2019-21;106
CB Third Floor;08/02/2019-22;117
CB Third Floor;08/02/2019-23;124
CB Third Floor;09/02/2019-00;134
CB Third Floor;09/02/2019-01;142
CB Third Floor;09/02/2019-02;134
CB Third Floor;09/02/2019-03;150
CB Third Floor;09/02/2019-04;150
CB Third Floor;09/02/2019-05;152
CB Third Floor;09/02/2019-06;146
CB Third Floor;09/02/2019-07;153
CB Third Floor;09/02/2019-08;163
CB Third Floor;09/02/2019-09;123
CB Third Floor;09/02/2019-10;102
CB Third Floor;09/02/2019-11;86
CB Third Floor;09/02/2019-12;72
CB Third Floor;09/02/2019-13;59
CB Third Floor;09/02/2019-14;64
CB Third Floor;09/02/2019-15;77
CB Third Floor;09/02/2019-16;86
CB Third Floor;09/02/2019-17;92
CB Third Floor;09/02/2019-18;89
CB Third Floor;09/02/2019-19;95
CB Third Floor;09/02/2019-20;94
CB Third Floor;09/02/2019-21;104
CB Third Floor;09/02/2019-22;96
CB Third Floor;09/02/2019-23;97
CB Third Floor;10/02/2019-00;93
CB Third Floor;10/02/2019-01;103
CB Third Floor;10/02/2019-02;103
CB Third Floor;10/02/2019-03;106
CB Third Floor;10/02/2019-04;103
CB Third Floor;10/02/2019-05;116
